barrido,archivo,f_test_hz,resolucion_hz,peak_freq_hz,peak_amp_dbm,offset_hz,offset_en_bins,noise_floor_dbm,snr_db
barrido(22k-49k),sweep_f_test_40.0kHz.csv,40000.0,29.0,40024.0,-10.17131233,24.0,0.8275862068965517,-126.2344474,116.06313506999999
barrido(22k-49k),sweep_f_test_41.0kHz.csv,41000.0,29.0,41010.0,-10.17318916,10.0,0.3448275862068966,-125.81104855,115.63785938999999
barrido(22k-49k),sweep_f_test_42.0kHz.csv,42000.0,29.0,41996.0,-10.17550087,-4.0,-0.13793103448275862,-125.5906721,115.41517123
barrido(22k-49k),sweep_f_test_43.0kHz.csv,43000.0,29.0,42982.0,-10.17385265,-18.0,-0.6206896551724138,-126.3488878,116.17503515
barrido(22k-49k),sweep_f_test_44.0kHz.csv,44000.0,29.0,44026.0,-10.17895508,26.0,0.896551724137931,-125.50801005,115.32905497
barrido(22k-49k),sweep_f_test_45.0kHz.csv,45000.0,29.0,45012.0,-10.18051624,12.0,0.41379310344827586,-125.60222225,115.42170601
barrido(22k-49k),sweep_f_test_46.0kHz.csv,46000.0,29.0,45998.0,-10.18329334,-2.0,-0.06896551724137931,-125.81775285,115.63445951
barrido(22k-49k),sweep_f_test_47.0kHz.csv,47000.0,29.0,46984.0,-10.18035224,-16.0,-0.5517241379310345,-125.9639331,115.78358086
barrido(22k-49k),sweep_f_test_48.0kHz.csv,48000.0,29.0,48028.0,-10.18691254,28.0,0.9655172413793104,-125.6046102,115.41769766
barrido(22k-49k),sweep_f_test_49.0kHz.csv,49000.0,29.0,49014.0,-10.1874342,14.0,0.4827586206896552,-125.68610175,115.49866755000001
barrido(52-195)k,sweep_f_test_52.0kHz.csv,52000.0,150.0,52100.0,-10.17896938,100.0,0.6666666666666666,-122.07715105,111.89818167
barrido(52-195)k,sweep_f_test_59.0kHz.csv,59000.0,150.0,59000.0,-10.1975193,0.0,0.0,-121.97546695,111.77794765
barrido(52-195)k,sweep_f_test_66.0kHz.csv,66000.0,150.0,65900.0,-10.22366114,-100.0,-0.6666666666666666,-121.88165975,111.65799860999999
barrido(52-195)k,sweep_f_test_73.0kHz.csv,73000.0,150.0,73100.0,-10.21715927,100.0,0.6666666666666666,-122.6837494,112.46659013
barrido(52-195)k,sweep_f_test_80.0kHz.csv,80000.0,150.0,80000.0,-10.22204304,0.0,0.0,-122.42723674999999,112.20519370999999
barrido(52-195)k,sweep_f_test_87.0kHz.csv,87000.0,150.0,86900.0,-10.24023279,-100.0,-0.6666666666666666,-122.40386815,112.16363536
barrido(52-195)k,sweep_f_test_94.0kHz.csv,94000.0,150.0,94100.0,-10.24962807,100.0,0.6666666666666666,-121.7662236,111.51659553
barrido(52-195)k,sweep_f_test_101.0kHz.csv,101000.0,150.0,101000.0,-10.25140858,0.0,0.0,-121.7965891,111.54518052
barrido(52-195)k,sweep_f_test_108.0kHz.csv,108000.0,150.0,107900.0,-10.25943811,-100.0,-0.6666666666666666,-121.26540685,111.00596874
barrido(52-195)k,sweep_f_test_115.0kHz.csv,115000.0,150.0,115100.0,-10.26794243,100.0,0.6666666666666666,-122.4101441,112.14220166999999
barrido(52-195)k,sweep_f_test_122.0kHz.csv,122000.0,150.0,122000.0,-10.2728157,0.0,0.0,-121.53340295000001,111.26058725000001
barrido(52-195)k,sweep_f_test_129.0kHz.csv,129000.0,150.0,128900.0,-10.27725734,-100.0,-0.6666666666666666,-120.8726743,110.59541696
barrido(52-195)k,sweep_f_test_136.0kHz.csv,136000.0,150.0,136100.0,-10.28271294,100.0,0.6666666666666666,-121.76087765,111.47816471
barrido(52-195)k,sweep_f_test_143.0kHz.csv,143000.0,150.0,143000.0,-10.28230286,0.0,0.0,-120.9474741,110.66517123999999
barrido(52-195)k,sweep_f_test_150.0kHz.csv,150000.0,150.0,149900.0,-10.28321381,-100.0,-0.6666666666666666,-121.5075086,111.22429478999999
barrido(52-195)k,sweep_f_test_157.0kHz.csv,157000.0,150.0,157100.0,-10.29333687,100.0,0.6666666666666666,-121.0384166,110.74507973
barrido(52-195)k,sweep_f_test_164.0kHz.csv,164000.0,150.0,164000.0,-10.29263687,0.0,0.0,-120.47282815,110.18019128
barrido(52-195)k,sweep_f_test_171.0kHz.csv,171000.0,150.0,170900.0,-10.28285017,-100.0,-0.6666666666666666,-121.11040915000001,110.82755898
barrido(52-195)k,sweep_f_test_178.0kHz.csv,178000.0,150.0,178100.0,-10.29133034,100.0,0.6666666666666666,-120.28303835,109.99170801
barrido(52-195)k,sweep_f_test_185.0kHz.csv,185000.0,150.0,185000.0,-10.30677319,0.0,0.0,-119.9295113,109.62273811
barrido(52-195)k,sweep_f_test_192.0kHz.csv,192000.0,150.0,191900.0,-10.28097457,-100.0,-0.6666666666666666,-120.3875623,110.10658773
barrido 5,sweep_f_test_210.0kHz.csv,210000.0,300.0,210200.0,-10.14417934,200.0,0.6666666666666666,-124.35609305,114.21191371
barrido 5,sweep_f_test_223.0kHz.csv,223000.0,300.0,222800.0,-10.15173918,-200.0,-0.6666666666666666,-124.34211880000001,114.19037962000002
barrido 5,sweep_f_test_236.0kHz.csv,236000.0,300.0,236000.0,-10.15449284,0.0,0.0,-123.41702495000001,113.26253211000001
barrido 5,sweep_f_test_249.0kHz.csv,249000.0,300.0,249200.0,-10.15056737,200.0,0.6666666666666666,-123.3858319,113.23526453
barrido 5,sweep_f_test_262.0kHz.csv,262000.0,300.0,261800.0,-10.15517715,-200.0,-0.6666666666666666,-124.17651695,114.0213398
barrido 5,sweep_f_test_275.0kHz.csv,275000.0,300.0,275000.0,-10.16920247,0.0,0.0,-123.6293649,113.46016243
barrido 5,sweep_f_test_288.0kHz.csv,288000.0,300.0,288200.0,-10.17936916,200.0,0.6666666666666666,-122.56092855,112.38155939
barrido 5,sweep_f_test_301.0kHz.csv,301000.0,300.0,300800.0,-10.18445217,-200.0,-0.6666666666666666,-122.813726,112.62927383
barrido 5,sweep_f_test_314.0kHz.csv,314000.0,300.0,314000.0,-10.19257935,0.0,0.0,-123.73455544999999,113.54197609999999
barrido 5,sweep_f_test_327.0kHz.csv,327000.0,300.0,327200.0,-10.20094658,200.0,0.6666666666666666,-122.28450765,112.08356107
barrido 5,sweep_f_test_340.0kHz.csv,340000.0,300.0,339800.0,-10.20417766,-200.0,-0.6666666666666666,-121.94585705,111.74167939
barrido 5,sweep_f_test_353.0kHz.csv,353000.0,300.0,353000.0,-10.20408422,0.0,0.0,-121.14029980000001,110.93621558000001
barrido 5,sweep_f_test_366.0kHz.csv,366000.0,300.0,366200.0,-10.20757771,200.0,0.6666666666666666,-121.42801564999999,111.22043794
barrido 5,sweep_f_test_379.0kHz.csv,379000.0,300.0,378800.0,-10.20638276,-200.0,-0.6666666666666666,-120.80358835,110.59720559
barrido 5,sweep_f_test_392.0kHz.csv,392000.0,300.0,392000.0,-10.20411902,0.0,0.0,-120.9210887,110.71696968
barrido 5,sweep_f_test_405.0kHz.csv,405000.0,300.0,405200.0,-10.20752627,200.0,0.6666666666666666,-120.7361291,110.52860283
barrido 5,sweep_f_test_418.0kHz.csv,418000.0,300.0,417800.0,-10.21396989,-200.0,-0.6666666666666666,-120.7660987,110.55212881
barrido 5,sweep_f_test_431.0kHz.csv,431000.0,300.0,431000.0,-10.2170856,0.0,0.0,-120.8767333,110.6596477
barrido 5,sweep_f_test_444.0kHz.csv,444000.0,300.0,444200.0,-10.22015367,200.0,0.6666666666666666,-121.50509005,111.28493638
barrido 5,sweep_f_test_457.0kHz.csv,457000.0,300.0,456800.0,-10.23622926,-200.0,-0.6666666666666666,-121.361714,111.12548474
barrido 5,sweep_f_test_470.0kHz.csv,470000.0,300.0,470000.0,-10.25392532,0.0,0.0,-121.7388474,111.48492207999999
barrido 5,sweep_f_test_483.0kHz.csv,483000.0,300.0,483200.0,-10.25503795,200.0,0.6666666666666666,-122.0038606,111.74882265
barrido 5,sweep_f_test_496.0kHz.csv,496000.0,300.0,495800.0,-10.26516604,-200.0,-0.6666666666666666,-122.74848495,112.48331891000001
barrido 6,sweep_f_test_505.0kHz.csv,505000.0,500.0,505000.0,-10.18939551,0.0,0.0,-124.20526135,114.01586584
barrido 6,sweep_f_test_518.0kHz.csv,518000.0,500.0,518000.0,-10.23899064,0.0,0.0,-123.70396885,113.46497821
barrido 6,sweep_f_test_531.0kHz.csv,531000.0,500.0,531000.0,-10.21226883,0.0,0.0,-123.93252765,113.72025882
barrido 6,sweep_f_test_544.0kHz.csv,544000.0,500.0,544000.0,-10.22481633,0.0,0.0,-123.8851938,113.66037747
barrido 6,sweep_f_test_557.0kHz.csv,557000.0,500.0,557000.0,-10.21751705,0.0,0.0,-123.51223834999999,113.29472129999999
barrido 6,sweep_f_test_570.0kHz.csv,570000.0,500.0,570000.0,-10.22240162,0.0,0.0,-123.3960442,113.17364258
barrido 6,sweep_f_test_583.0kHz.csv,583000.0,500.0,583000.0,-10.22077113,0.0,0.0,-123.6665146,113.44574347
